Date,Moonphase ,House,Collection,Time,live Af,Dead Af,Af_tot_fem,Af male,letabensis,gambiae,rufipes,Mansonia,Mans afr,afr male,Ms unf,unf male,Ms male,An t,Cx,Sp A,Other,Obs
15-Sep-2008	,full,3802,t,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15-Sep-2008	,full,3802,t,3,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,,
07-Oct-2008	,full,3802,t,1,0,0,16,0,0,0,0,0,2,0,5,0,0,0,0,0,,
07-Oct-2008	,full,3802,t,2,0,0,10,0,0,0,0,0,5,1,0,0,0,1,1,0,,
07-Oct-2008	,full,3802,t,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,,0,,
08-Oct-2008	,full,3802,t,1,0,0,12,1,0,0,0,0,45,0,12,3,0,2,0,1,,
08-Oct-2008	,full,3802,t,2,0,0,12,0,0,0,0,0,37,5,49,7,0,2,1,0,,
08-Oct-2008	,full,3802,t,3,0,0,19,2,0,1,0,0,32,6,6,2,0,0,0,0,,
09-Oct-2008	,full,3802,t,1,0,0,24,0,0,0,0,0,0,0,58,21,0,6,0,0,,
09-Oct-2008	,full,3802,t,2,0,0,8,1,0,0,0,0,32,0,48,13,0,4,0,0,,
09-Oct-2008	,full,3802,t,3,0,0,69,14,0,1,0,0,25,0,24,14,0,0,0,0,,
10-Oct-2008	,full,3802,t,1,0,0,0,0,0,0,0,,11,0,8,1,0,0,0,0,,
10-Oct-2008	,full,3802,t,2,0,0,5,0,0,0,0,0,18,0,8,0,0,0,0,0,,
10-Oct-2008	,full,3802,t,3,0,0,13,4,0,0,0,0,15,0,15,5,0,0,0,0,,
11-Oct-2008	,full,3802,t,1,0,0,137,0,0,0,0,0,1,0,1,2,0,2,0,0,,
11-Oct-2008	,full,3802,t,2,0,0,6,0,0,0,0,0,5,0,11,3,0,0,2,0,,
11-Oct-2008	,full,3802,t,3,0,0,4,2,1,0,0,0,2,0,3,0,0,0,1,0,,
12-Oct-2008	,full,3802,t,1,0,0,10,0,1,0,0,0,6,0,2,2,0,5,0,3,,
12-Oct-2008	,full,3802,t,2,0,0,11,0,0,0,0,0,2,1,1,0,0,0,1,0,,
12-Oct-2008	,full,3802,t,3,0,0,4,0,0,0,0,0,5,0,2,0,0,0,0,0,,
13-Oct-2008	,full,3802,t,1,0,0,4,0,0,0,0,0,20,0,11,9,0,0,0,7,,
13-Oct-2008	,full,3802,t,2,0,0,5,0,0,0,0,0,6,0,3,1,0,1,0,1,,
13-Oct-2008	,full,3802,t,3,0,0,8,1,0,0,0,0,16,1,18,3,0,0,0,0,,
23-Sep-2008	,no moon,23,l,0,0,0,131,5,0,0,0,0,9,0,0,0,0,4,0,1,,
24-Sep-2008	,no moon,23,l,0,0,0,4,1,0,0,0,0,27,0,9,0,1,5,0,0,,
25-Sep-2008	,no moon,23,l,0,92,93,185,0,4,0,0,0,35,0,14,0,2,1,0,0,,
26-Sep-2008	,no moon,23,l,0,81,95,176,26,15,1,0,0,33,0,4,0,0,5,0,0,,
27-Sep-2008	,no moon,23,l,0,59,64,59,28,2,0,0,0,7,0,14,0,0,0,0,0,,
28-Sep-2008	,no moon,23,l,0,55,192,247,27,2,0,0,0,33,0,0,2,0,0,2,0,,
23-Sep-2008	,no moon,222,l,1,0,0,10,0,0,0,0,0,4,0,0,0,0,2,0,1,,
24-Sep-2008	,no moon,222,l,3,0,0,7,0,0,0,0,0,3,0,2,0,0,0,0,0,,
24-Sep-2008	,no moon,222,l,2,0,0,9,0,0,0,0,0,6,0,14,0,0,1,0,2,,
24-Sep-2008	,no moon,222,l,1,0,0,10,0,0,0,0,0,2,0,11,0,0,0,0,0,,
25-Sep-2008	,no moon,222,l,1,0,0,4,1,0,0,0,0,16,0,11,0,1,1,0,0,,
25-Sep-2008	,no moon,222,l,2,0,0,3,0,0,0,0,0,5,0,3,0,0,0,2,0,,
25-Sep-2008	,no moon,222,l,3,0,0,4,0,1,0,0,0,9,0,5,0,0,1,1,0,,
26-Sep-2008	,no moon,222,l,1,0,0,6,0,0,0,0,0,10,0,4,0,0,2,1,0,,
26-Sep-2008	,no moon,222,l,3,0,0,2,0,1,0,0,0,8,0,3,2,0,0,2,0,,
26-Sep-2008	,no moon,222,l,2,0,0,4,0,0,0,0,0,6,0,0,0,0,1,0,1,,
27-Sep-2008	,no moon,222,l,1,0,0,16,1,0,0,0,0,5,0,3,2,0,2,0,0,,
27-Sep-2008	,no moon,222,l,2,0,0,14,0,0,0,0,0,15,0,28,0,0,1,0,0,,
27-Sep-2008	,no moon,222,l,3,0,0,24,0,2,0,0,0,26,0,0,0,0,1,0,0,,
28-Sep-2008	,no moon,222,l,1,0,0,21,1,0,0,1,0,1,0,1,0,0,0,1,0,,battery stolen early morning
28-Sep-2008	,no moon,222,l,2,27,27,27,0,6,0,0,0,12,0,20,0,0,3,4,0,,
28-Sep-2008	,no moon,222,l,3,25,0,25,1,10,0,0,0,6,0,5,0,0,8,0,5,,
29-Sep-2008	,no moon,222,l,1,,,14,0,1,0,0,0,0,0,2,0,0,0,0,1,,
29-Sep-2008	,no moon,222,l,2,,,12,1,1,0,0,0,1,0,2,0,0,1,2,0,,
29-Sep-2008	,no moon,222,l,3,,,1,0,0,0,0,0,1,0,1,0,0,1,0,0,,
23-Sep-2008	,no moon,3802,l,1,0,0,12,2,2,0,0,0,4,0,0,0,0,1,2,0,,
23-Sep-2008	,no moon,3802,l,2,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,1,,
23-Sep-2008	,no moon,3802,l,3,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,,
24-Sep-2008	,no moon,3802,l,3,0,0,20,1,0,0,0,0,44,0,19,0,4,14,0,0,,
24-Sep-2008	,no moon,3802,l,2,0,0,7,0,0,0,0,0,6,0,4,1,0,0,0,2,,
25-Sep-2008	,no moon,3802,l,1,0,0,53,4,1,0,0,0,14,0,6,0,0,1,0,0,,
25-Sep-2008	,no moon,3802,l,2,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,
25-Sep-2008	,no moon,3802,l,3,0,0,33,5,6,0,0,0,1,0,2,0,0,1,0,0,,
26-Sep-2008	,no moon,3802,l,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,,
26-Sep-2008	,no moon,3802,l,2,0,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,,
26-Sep-2008	,no moon,3802,l,3,0,0,25,4,0,0,0,0,0,0,2,3,0,3,0,0,,
27-Sep-2008	,no moon,3802,l,1,0,0,41,23,3,0,0,0,10,0,0,1,0,2,0,0,,
27-Sep-2008	,no moon,3802,l,2,0,0,72,4,3,0,0,0,2,0,8,1,0,1,1,0,,
27-Sep-2008	,no moon,3802,l,2,0,0,60,7,1,0,0,0,3,0,5,0,0,2,0,0,,
28-Sep-2008	,no moon,3802,l,3,,,34,3,0,0,0,0,0,0,3,0,0,1,0,1,,
28-Sep-2008	,no moon,3802,l,1,,,136,24,20,0,0,0,0,0,4,0,0,5,0,1,,formigas
29-Sep-2008	,no moon,3802,l,1,0,0,104,61,0,0,0,0,3,0,0,0,0,0,0,0,,
29-Sep-2008	,no moon,3802,l,3,0,0,33,4,0,0,0,0,2,0,0,0,0,0,2,0,,
23-Sep-2008	,no moon,3852,l,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,,
24-Sep-2008	,no moon,3852,l,1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,,
24-Sep-2008	,no moon,3852,l,2,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,,
24-Sep-2008	,no moon,3852,l,3,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,,
25-Sep-2008	,no moon,3852,l,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
25-Sep-2008	,no moon,3852,l,3,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,,
26-Sep-2008	,no moon,3852,l,2,0,0,30,0,0,1,0,0,0,0,3,0,0,0,0,0,,
26-Sep-2008	,no moon,3852,l,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,
26-Sep-2008	,no moon,3852,l,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,,
27-Sep-2008	,no moon,3852,l,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
27-Sep-2008	,no moon,3852,l,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
27-Sep-2008	,no moon,3852,l,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,
28-Sep-2008	,no moon,3852,l,1,,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,
28-Sep-2008	,no moon,3852,l,2,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28-Sep-2008	,no moon,3852,l,3,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,
29-Sep-2008	,no moon,3852,l,1,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,
29-Sep-2008	,no moon,3852,l,2,,,51,0,0,1,0,0,0,0,0,0,0,0,0,0,,
29-Sep-2008	,no moon,3852,l,3,,,34,0,0,1,0,0,0,0,0,0,0,0,0,0,,
23-Sep-2008	,no moon,23,t,1,0,0,1,0,0,0,0,0,4,0,11,0,2,0,0,1,,
23-Sep-2008	,no moon,23,t,2,0,0,1,0,0,0,0,0,10,0,0,0,0,1,0,0,,
23-Sep-2008	,no moon,23,t,3,0,0,4,0,0,0,0,0,12,0,2,0,0,0,0,0,,
24-Sep-2008	,no moon,23,t,3,0,0,11,0,4,0,0,0,12,0,25,4,0,0,0,0,,trap on late
24-Sep-2008	,no moon,23,t,1,0,0,11,0,7,0,0,0,64,0,27,0,0,1,0,1,,
24-Sep-2008	,no moon,23,t,2,0,0,26,0,0,0,0,0,32,0,29,6,0,7,1,1,,
24-Sep-2008	,no moon,222,t,1,0,0,11,0,0,0,0,0,27,0,61,0,2,7,0,1,,
24-Sep-2008	,no moon,222,t,2,0,0,26,0,1,0,0,0,29,0,32,0,6,7,1,0,,
24-Sep-2008	,no moon,222,t,3,0,0,11,0,0,0,0,0,25,0,12,0,5,0,0,0,,
25-Sep-2008	,no moon,222,t,1,0,0,3,0,9,0,0,0,35,0,8,0,0,2,0,1,,
25-Sep-2008	,no moon,222,t,2,0,0,10,0,0,0,0,0,49,0,10,0,0,1,0,0,,
25-Sep-2008	,no moon,222,t,3,0,0,22,0,0,0,0,0,59,0,68,0,11,0,0,0,,
25-Sep-2008	,no moon,222,t,2,0,0,10,1,0,0,0,0,10,0,49,0,0,1,0,0,,
25-Sep-2008	,no moon,222,t,1,0,0,4,1,0,0,0,9,28,0,35,0,0,2,0,1,,
26-Sep-2008	,no moon,222,t,2,0,0,21,0,5,0,0,0,102,0,27,0,3,1,0,0,,
26-Sep-2008	,no moon,222,t,1,0,0,6,1,0,0,0,0,73,0,26,11,0,2,0,0,,
26-Sep-2008	,no moon,222,t,2,0,0,0,0,5,,0,0,56,0,11,1,0,2,0,,,
27-Sep-2008	,no moon,222,t,1,0,0,23,0,3,3,0,0,58,0,11,1,0,4,0,0,,
27-Sep-2008	,no moon,222,t,2,0,0,24,0,4,1,0,0,51,0,26,2,0,1,0,0,,
27-Sep-2008	,no moon,222,t,3,0,0,26,0,0,0,0,0,44,0,43,0,0,2,1,0,,
28-Sep-2008	,no moon,222,t,2,,,34,1,1,0,0,0,29,0,37,3,0,1,0,3,,
